x,y
477765.2072852999,494.688
477765.20923285506,494.037
477765.21118027164,493.031
477765.2134493176,490.92
477765.21602384286,492.246
477765.2185822419,490.602
477765.2205282722,493.017
477765.2224756665,491.495
477765.2227811225,491.628
477765.2250340615,492.442
477765.2253395375,492.82
477765.227302942,492.098
477765.22925000265,492.038
477765.22957373253,492.624
477765.23180778883,493.387
477765.23211321543,492.479
477765.2343656107,495.038
477765.2346710564,493.646
477765.23692338506,494.179
477765.2372288533,494.216
477765.2394814379,494.292
477765.2414284121,494.503
477765.2430860675,494.775
477765.243391505,493.495
477765.24503312126,493.009
477765.24699639133,491.879
477765.2489434314,493.727
477765.2515014534,492.637
477765.2540594864,490.744
477765.25436491193,490.464
477765.2563281463,488.72
477765.2582753955,489.152
477765.26022260415,490.119
477765.26054179366,489.506
477765.26216985926,489.48
477765.26247531764,489.438
477765.2641168276,489.236
477765.26442226977,489.505
477765.26667464303,489.049
477765.2669801302,489.038
477765.2692326284,488.582
477765.271485208,489.555
477765.2717906981,489.643
477765.27404314734,488.105
477765.2743486321,488.159
477765.2766010488,488.731
477765.2769065257,488.456
477765.2791591226,488.642
477765.2817171921,488.195
477765.2842754418,487.532
477765.28683351347,487.921
477765.28715725243,488.45
477765.2893914359,488.015
477765.2896969035,488.051
477765.2919509592,487.89
477765.292256421,488.124
477765.2945089451,487.89
477765.2948143931,488.016
477765.29738972784,489.162
477765.29769516044,488.74
477765.3005583958,488.551
477765.30086384324,488.664
477765.30372717266,489.073
477765.30403264705,489.008
477765.3063011957,489.008
477765.3088751097,490.052
477765.31143364677,490.384
477765.3139915836,490.541
477765.3156654167,489.696
477765.3182241089,490.009
477765.3207819756,490.873
477765.32333924697,491.481
477765.3236447208,491.864
477765.32650796976,493.518
477765.3268134595,493.622
477765.3290660607,492.904
477765.3293715158,493.217
477765.3316239208,492.941
477765.33192935644,492.275
477765.3341825864,492.958
477765.3367409268,492.676
477765.3392991017,494.263
477765.3415502898,493.408
477765.3418557561,492.957
477765.34410788974,492.149
477765.3460551948,491.047
477765.3480021695,490.692
477765.3505605801,488.377
477765.3508660237,487.503
477765.3531194215,488.939
477765.35342487943,490.318
477765.3556776635,491.503
477765.35598322045,492.083
477765.35823595186,489.783
477765.35854154144,490.286
477765.36109995324,491.273
477765.36140550097,491.427
477765.363063263,489.741
477765.36336870375,486.848
477765.3656202175,485.519
477765.365927318,486.844
477765.3681791828,493.326
477765.3701561445,496.764
477765.37271412974,491.101
477765.3752712089,491.099
477765.37782863446,492.835
477765.3781340857,491.614
477765.3806928873,495.924
477765.3832503782,495.103
477765.3858075698,493.788
477765.38838059996,492.91
477765.3886860882,493.606
477765.3915493519,493.447
477765.3918548403,493.9
477765.39471842314,492.778
477765.39502392,492.018
477765.39729173004,492.012
477765.3975968198,491.211
477765.3998483533,490.983
477765.40240443125,491.926
477765.40468795697,490.702
477765.4049933884,491.101
477765.4072456753,490.322
477765.4098034029,491.348
477765.41174853116,491.753
477765.41369411733,490.9
477765.4156398779,491.441
477765.415945331,492.332
477765.418197477,492.146
477765.41850291693,491.944
477765.4204654764,491.666
477765.4224118075,491.141
477765.42272635485,491.226
477765.4243592396,491.421
477765.424664731,491.52
477765.4269169082,491.738
477765.4272223537,491.736
477765.42949128494,491.877
477765.429796855,492.101
477765.4320497928,492.736
477765.43399748235,492.967
477765.43563935,492.256
477765.43594483554,492.23
477765.4381976657,492.649
477765.4401605203,492.423
477765.4421077879,491.329
477765.4440545323,491.247
477765.44600191683,490.694
477765.44630737475,490.889
477765.44825483323,491.176
477765.4502022632,491.328
477765.452149532,491.722
477765.4524709173,491.776
477765.45409640396,492.124
477765.45440183167,492.606
477765.45665424864,492.308
477765.4569597056,491.637
477765.4592120542,491.933
477765.45951749774,491.787
477765.46176910325,491.624
477765.46402147587,491.754
477765.46432695026,491.633
477765.4665794749,492.21
477765.4668849308,492.077
477765.4691373558,491.865
477765.46944279043,491.444
477765.4716954338,491.339
477765.4742533398,490.147
477765.4768112072,490.433
477765.4787584257,490.313
477765.4807055146,489.685
477765.48101099394,490.027
477765.4832634747,489.583
477765.48356894084,489.585
477765.4861273181,488.999
477765.48868519417,488.74
477765.4912417977,488.714
477765.49154724146,488.36
477765.4938156477,488.607
477765.4941210986,488.76
477765.49637378886,487.069
477765.49667924806,487.563
477765.49893235374,485.196
477765.50089564495,487.39
477765.5025533005,489.093
477765.5028587569,490.029
477765.5045003138,491.252
477765.5048065312,492.316
477765.5070590329,492.594
477765.5090054477,493.942
477765.51156335283,494.162
477765.51412040816,494.856
477765.5144464265,494.385
477765.5166779836,496.249
477765.5169834871,496.322
477765.5192360747,496.823
477765.5195415368,497.362
477765.52240556636,496.204
477765.5227110405,496.424
477765.52528511424,496.464
477765.5256065425,496.021
477765.52784346294,496.805
477765.52814893436,497.416
477765.5304000584,497.746
477765.53070549347,498.214
477765.53295753786,498.234
477765.5332629785,498.309
477765.53551512514,498.115
477765.53749434993,497.485
477765.53944041795,498.703
477765.54169246776,498.332
477765.5419979058,498.5
477765.54425007966,496.772
477765.5468076817,497.637
477765.54936469387,497.353
477765.5513109964,497.252
477765.55325778096,497.922
477765.55356321234,497.955
477765.555815405,497.774
477765.5561208727,497.98
477765.5583725302,498.012
477765.5586779835,498.27
477765.5609300902,497.604
477765.5638092418,498.004
477765.56411480985,498.047
477765.56636767,498.955
477765.566673162,498.895
477765.5689259236,498.876
477765.56923149736,498.788
477765.5714838984,497.581
477765.5740416843,497.374
477765.57600482774,497.666
477765.57795201644,497.649
477765.5802206122,496.942
477765.5821676924,497.248
477765.58411477285,496.916
477765.5866724612,497.827
477765.58697786723,497.606
477765.5892305076,497.5
477765.5895359649,497.319
477765.59178822476,496.836
477765.59209367196,496.374
477765.5949562081,495.365
477765.5952616919,495.521
477765.598125372,494.838
477765.60069940466,494.751
477765.6029678939,494.103
477765.6032733417,493.988
477765.6055256788,493.974
477765.6058311669,493.744
477765.60809960583,492.283
477765.61065731954,492.823
477765.6132151186,493.33
477765.6151784048,493.192
477765.615490672,492.508
477765.61773629603,492.155
477765.61804174876,492.393
477765.6202941372,491.495
477765.6205995856,490.77
477765.62254703004,491.433
477765.62449398014,491.617
477765.6247994562,491.178
477765.6270521356,491.309
477765.62735759944,490.956
477765.6296099548,491.822
477765.62991508085,492.333
477765.6321671108,491.334
477765.63247256377,491.551
477765.634725078,490.1
477765.6366882363,488.806
477765.6389408379,489.642
477765.639246312,489.119
477765.6414986477,493.394
477765.6440726434,492.926
477765.64663042506,493.605
477765.6491882351,496.265
477765.6517457765,494.419
477765.6520555897,493.855
477765.6543025163,491.502
477765.654607971,491.145
477765.6568597734,492.439
477765.6571647953,492.545
477765.66002777807,492.979
477765.66033321,492.611
477765.6631958609,491.473
477765.66547915246,492.028
477765.6657845785,492.458
477765.6680357744,491.71
477765.6683412069,491.003
477765.6706100466,490.637
477765.6709154699,491.118
477765.6737783753,490.833
477765.6763356444,490.143
477765.6788939326,490.549
477765.6814508863,492.002
477765.6840245623,491.941
477765.68433003145,490.685
477765.68719322083,490.339
477765.68749867583,489.539
477765.69036206824,488.564
477765.690667538,488.275
477765.69263082166,488.012
477765.6945778383,487.102
477765.69488329074,486.81
477765.69713588065,488.701
477765.6974413857,488.46
477765.69969390566,488.747
477765.6999993724,489.054
477765.70225182513,488.462
477765.70482647815,488.846
477765.7067728515,488.462
477765.7087196409,489.039
477765.71097161405,488.548
477765.71293375385,489.17
477765.71488052956,489.16
477765.7168281884,488.175
477765.71714302496,488.441
477765.71938606387,487.965
477765.7196914874,487.659
477765.72194363625,487.222
477765.7222490911,487.562
477765.72450076375,487.223
477765.7248061961,486.404
477765.72736377444,486.211
477765.72767603653,486.076
477765.72992148274,485.877
477765.730226567,486.255
477765.7324779098,487.403
477765.7327833377,487.563
477765.7356455259,487.849
477765.73595099157,488.279
477765.7388136177,487.6
477765.74138688354,487.07
477765.74394376145,486.154
477765.74650112557,486.458
477765.7490585207,486.664
477765.74936860695,486.603
477765.7522268333,486.857
477765.7525322625,487.422
477765.75539492717,486.841
477765.75570038636,486.735
477765.7585631931,486.268
477765.75886824005,486.235
477765.76084708225,485.857
477765.7611524741,485.598
477765.763404105,486.029
477765.7637095592,486.125
477765.76596191106,485.583
477765.76626734214,485.133
477765.76851973904,483.271
477765.76882516744,484.123
477765.7710933334,485.167
477765.7736506611,483.029
477765.77559778787,480.603
477765.77754458546,480.537
477765.7778623428,481.745
477765.7797980495,488.291
477765.7817455688,492.34
477765.7836924908,488.662
477765.7856392096,486.303
477765.78594466654,489.582
477765.78819717286,491.729
477765.78850262245,493.152
477765.79075473215,491.677
477765.79106015805,491.077
477765.7933123193,491.441
477765.79361775523,490.975
477765.7958703089,489.572
477765.7975127707,490.979
477765.7978183055,491.616
477765.7994571247,489.792
477765.79976255726,489.045
477765.802014747,490.042
477765.803976582,488.319
477765.8059233707,487.371
477765.8078696863,486.311
477765.8101216416,487.113
477765.81206895795,486.198
477765.8140315242,485.066
477765.8159779031,484.503
477765.8162833636,484.19
477765.81792495144,484.364
477765.8182304137,484.659
477765.82048187865,485.576
477765.8207873339,484.978
477765.823040163,484.587
477765.82334561145,484.027
477765.82559771976,483.206
477765.8278498233,482.189
477765.8281552636,481.742
477765.8304068418,481.946
477765.8307122655,481.998
477765.83296226716,482.304
477765.83326772146,482.043
477765.83551932446,481.226
477765.83807701943,479.951
477765.84063452453,480.045
477765.8425972864,480.142
477765.8445440253,482.125
477765.84484946955,482.828
477765.8474069603,481.126
477765.8499645337,480.875
477765.85192724766,480.884
477765.8522326623,480.623
477765.8544846119,480.473
477765.85479006625,479.995
477765.8570425798,480.641
477765.8573480625,480.821
477765.85959973413,482.047
477765.859905224,482.37
477765.8621571613,481.947
477765.8641044897,482.361
477765.86574577837,482.166
477765.86605120415,482.704
477765.86769201356,481.234
477765.8696541902,480.412
477765.87221136026,480.769
477765.8747681563,481.25
477765.8773255342,480.029
477765.877630986,479.899
477765.87988305266,479.383
477765.8801880978,479.665
477765.88215034467,480.074
477765.88470799226,480.258
477765.8872653345,480.318
477765.8875707557,480.679
477765.8892274586,479.943
477765.8895329261,480.081
477765.89178457216,480.521
477765.89209003333,480.186
477765.8943421817,480.025
477765.8963049683,478.354
477765.8985572707,479.368
477765.8988627383,478.674
477765.90111441276,478.108
477765.90141981904,478.351
477765.9036718568,476.902
477765.90622876084,475.217
477765.9087856675,474.201
477765.91134310333,482.299
477765.91328963434,488.787
477765.9135950608,487.257
477765.9158470523,477.947
477765.91615250113,481.661
477765.9184046165,481.189
477765.9187100415,480.504
477765.92096202803,488.136
477765.92126746813,487.639
477765.9238248635,488.681
477765.92413026514,489.681
477765.92699301534,487.958
477765.9272984407,488.903
477765.9295504732,485.433
477765.92985593394,485.493
477765.93210732174,485.888
477765.93241240963,485.145
477765.9346628334,485.891
477765.9372202663,487.347
477765.93977765547,484.921
477765.9423348203,486.095
477765.94489181944,487.041
477765.94519725343,487.369
477765.9474492249,486.397
477765.94775465067,486.668
477765.9500065986,487.376
477765.95031203335,487.161
477765.95288563863,487.665
477765.95544298197,488.629
477765.95574841613,488.9
477765.95800035924,487.945
477765.9583057806,487.527
477765.9605578267,487.786
477765.96086329385,487.873
477765.9631309874,486.214
477765.96568859013,485.951
477765.9682455198,485.878
477765.97080331465,485.611
477765.97336072533,484.554
477765.97367038426,484.656
477765.97652839613,484.777
477765.9768338518,485.359
477765.9796968453,485.699
477765.98000226344,485.404
477765.9819487323,484.605
477765.98391099717,485.733
477765.9842164309,485.867
477765.9864686099,485.432
477765.9867740649,486.146
477765.9890262384,485.589
477765.9893317015,485.518
477765.9915838253,485.231
477765.9918892926,485.335
477765.9941409565,485.575
477765.9966985819,484.144
477765.99864431337,484.101
477766.00089503586,485.301
477766.00120046915,485.507
477766.00345300086,486.64
477766.0054152056,487.456
477766.00736126356,487.526
477766.0093074854,487.643
477766.00961251865,487.199
477766.0112538823,486.349
477766.01155936776,486.167
477766.0138115791,485.399
477766.0141170093,485.335
477766.01667413424,484.841
477766.01923119504,485.275
477766.01953665185,485.42
477766.02178818546,485.392
477766.0220936262,485.89
477766.02434552327,486.743
477766.0246509669,486.785
477766.0275140568,487.505
477766.027819487,487.652
477766.0306826414,487.387
477766.03325373493,486.033
477766.03581021685,485.103
477766.03836738295,482.875
477766.0409243894,481.314
477766.04122982314,480.542
477766.04409225134,480.602
477766.04439732624,478.989
477766.047260341,477.417
477766.0475658209,478.871
477766.05042893876,475.711
477766.0507344983,478.418
477766.05269766005,482.737
477766.05300773506,479.305
477766.05525577435,485.273
477766.0555612923,485.024
477766.0577848851,484.381
477766.058090369,482.116
477766.0603429039,489.517
477766.0606483786,491.361
477766.06290073827,492.594
477766.06320615386,491.057
477766.0654738987,481.965
477766.0680302402,487.181
477766.06997691485,484.888
477766.0719235821,484.198
477766.0722335364,484.115
477766.07417564135,484.123
477766.0761223559,483.567
477766.0780691168,483.285
477766.08001589985,483.466
477766.08032137493,484.739
477766.08196256787,486.041
477766.08226801857,485.46
477766.0845203054,484.867
477766.0848257941,485.556
477766.0868041129,485.194
477766.0871140816,484.646
477766.08875034977,485.543
477766.08905580454,485.82
477766.09069688583,486.805
477766.091001978,487.297
477766.093254339,487.952
477766.0935597724,488.572
477766.09581197385,488.228
477766.09775890847,487.899
477766.099705149,486.448
477766.1019568038,486.993
477766.1022622598,486.679
477766.10451447597,487.442
477766.1064612878,488.251
477766.10901913967,488.591
477766.11157706025,488.843
477766.11353965866,488.088
477766.1138447124,488.167
477766.1160962691,487.665
477766.1164017292,487.852
477766.11865313724,487.398
477766.11895818997,487.307
477766.1209202896,487.686
477766.12122574745,488.355
477766.123478014,488.885
477766.12378345925,488.771
477766.1260355667,488.407
477766.1263409986,488.548
477766.12860910356,487.818
477766.12891456834,488.471
477766.13116621866,488.559
477766.13372394064,489.021
477766.1356702816,488.514
477766.13761692547,487.334
477766.1379269007,486.865
477766.13988542097,486.673
477766.1424416096,485.313
477766.1449985863,485.551
477766.14755595446,485.551
477766.1478614004,485.32
477766.15011346585,486.042
477766.15041893127,486.097
477766.1526709417,485.763
477766.1529763597,485.783
477766.1552283577,485.057
477766.1555337724,484.946
477766.1583967003,484.962
477766.16095420014,485.568
477766.1626116571,486.34
477766.1629170854,486.497
477766.16516931367,485.545
477766.16547476134,485.156
477766.1677266368,484.353
477766.16967247135,484.271
477766.171619345,483.723
477766.1735655121,483.576
477766.1738709196,483.895
477766.17612303264,484.616
477766.176428481,484.441
477766.1792916342,483.355
477766.17959706695,483.756
477766.18184925755,482.993
477766.18215471326,482.782
477766.18472921976,482.884
477766.1850346586,482.473
477766.1872869811,483.711
477766.1875924496,483.045
477766.1898452862,482.849
477766.19015071436,482.317
477766.1924035122,480.158
477766.19270893664,478.764
477766.19496113225,482.619
477766.1975185913,488.787
477766.20007547847,486.073
477766.20203977765,485.455
477766.20235888654,483.795
477766.2045972779,485.396
477766.2049027063,485.577
477766.2071546914,483.815
477766.2074601184,483.439
477766.20940691675,481.905
477766.2113543606,483.947
477766.21165978035,483.364
477766.21391179645,483.218
477766.2142172268,482.065
477766.21646923834,482.452
477766.2167747234,482.778
477766.2190266716,483.405
477766.21933209134,483.901
477766.22158432857,482.831
477766.22354743135,484.12
477766.2257996407,483.198
477766.2261050874,482.617
477766.22835664096,482.084
477766.2309302471,481.241
477766.23348712357,477.973
477766.2360432666,478.167
477766.23860111774,478.49
477766.23890659417,478.099
477766.2411591489,478.888
477766.24146466673,478.738
477766.2437171931,479.218
477766.2440226423,479.468
477766.24688581016,479.089
477766.2471913271,478.841
477766.2500543609,478.902
477766.25261236937,478.946
477766.25488083693,478.272
477766.2551863132,477.788
477766.25743873545,477.942
477766.2577441978,477.741
477766.25999659766,477.758
477766.2619437808,477.249
477766.26389112364,477.862
477766.26644856547,477.111
477766.2667631236,476.966
477766.2696174021,477.83
477766.26992296544,477.684
477766.27278626745,477.413
477766.27309181745,477.069
477766.2753443708,477.687
477766.27564983256,477.642
477766.2779179791,476.34
477766.28017001343,476.409
477766.28047543013,476.28
477766.28272791655,476.712
477766.28303337673,477.313
477766.2852855408,477.453
477766.2855909891,477.261
477766.2878426293,477.703
477766.2904001248,477.907
477766.2923631135,477.924
477766.2943098121,478.012
477766.29625658825,479.266
477766.2965620275,479.87
477766.2991196166,480.709
477766.30108182866,480.038
477766.30302818253,480.609
477766.303333618,481.171
477766.3055860561,479.416
477766.30589231034,479.259
477766.3081450284,478.828
477766.3084504793,478.547
477766.31070315704,479.019
477766.3110086328,478.969
477766.31326011365,478.544
477766.31520629546,478.172
477766.31745885004,477.142
477766.31776429387,476.796
477766.3206274697,476.487
477766.3209329219,476.501
477766.3237963469,476.444
477766.3263540417,475.236
477766.32891203574,474.668
477766.3314696872,472.772
477766.334027323,471.763
477766.33433279255,474.056
477766.33658530307,475.795
477766.3368907718,474.462
477766.3397532768,473.671
477766.3400586968,473.733
477766.34292085416,476.119
477766.3432259296,477.119
477766.3460882769,478.542
477766.3486457968,477.888
477766.3512032807,477.113
477766.35347082966,475.021
477766.35604380525,474.005
477766.3586006622,474.943
477766.36056352267,474.515
477766.3625262405,474.794
477766.3628316319,474.944
477766.36508368386,475.162
477766.365388741,475.574
477766.36765573145,476.661
477766.3679611942,476.712
477766.36990650155,476.704
477766.37021416816,476.329
477766.3724640223,475.883
477766.3727694415,475.651
477766.3750215075,476.053
477766.3753269512,475.937
477766.3775791729,475.633
477766.37788465706,475.762
477766.380137876,476.335
477766.3820856948,477.202
477766.38403283554,477.337
477766.38597990863,476.431
477766.3888433364,477.136
477766.3914012003,475.353
477766.39395897905,475.32
477766.39651712484,475.623
477766.3984801609,475.197
477766.39878562256,475.206
477766.40042679495,475.119
477766.40073226456,475.338
477766.402984111,475.971
477766.40328972874,475.397
477766.40554270986,476.07
477766.4078114797,475.815
477766.40811694105,475.743
477766.41097983805,475.02
477766.4112853099,475.275
477766.41353770613,475.854
477766.41384316253,475.887
477766.41670656047,475.665
477766.41926421225,475.158
477766.42182206694,473.554
477766.42437984224,474.454
477766.4269375357,473.958
477766.4272429812,473.346
477766.430106014,474.143
477766.4304114662,473.823
477766.43327426433,473.783
477766.433579459,473.637
477766.4358308841,473.403
477766.43613650656,473.517
477766.4383866709,473.925
477766.440944646,473.666
477766.443213115,472.611
477766.4435185923,472.299
477766.4457708925,472.051
477766.4483447167,471.811
477766.45029175846,472.761
477766.4522395268,473.03
477766.454186482,472.856
477766.4544919133,472.466
477766.45674425043,472.803
477766.45704970666,473.247
477766.4590127337,473.378
477766.4609596928,473.246
477766.461269695,473.747
477766.4629066418,474.703
477766.46321209916,474.602
477766.4654642976,472.91
477766.4657697605,472.84
477766.46802212833,471.978
477766.46832757693,471.571
477766.4705787883,472.79
477766.47252582066,472.727
477766.47447285353,473.494
477766.4767415212,473.799
477766.47868889244,473.084
477766.48063596856,471.016
477766.48258326994,469.545
477766.48453026445,471.135
477766.48483571137,470.502
477766.4870882891,472.977
477766.4873937573,475.491
477766.4899517427,477.023
477766.4925098957,476.922
477766.49282218906,477.323
477766.4950678066,477.426
477766.4953732563,477.68
477766.497626701,476.194
477766.49793227395,476.139
477766.5001852518,479.415
477766.50049073854,479.066
477766.502759689,480.567
477766.5053176199,480.093
477766.5078756542,479.325
477766.509838356,477.903
477766.5120911311,478.248
477766.51464761485,478.641
477766.5165932789,478.746
477766.5185403443,478.245
477766.5188503121,477.918
477766.52109783405,477.933
477766.52140328893,478.477
477766.52365532215,478.724
477766.5239607554,478.775
477766.5262128346,477.829
477766.52651829016,477.133
477766.5287698315,477.457
477766.5304111675,477.277
477766.5307165981,477.325
477766.5323578971,476.554
477766.53266331373,476.176
477766.53430407017,474.728
477766.5346094948,475.091
477766.53686164966,474.558
477766.53880876093,474.411
477766.54075587477,476.838
477766.5433136441,475.589
477766.54362823174,475.419
477766.5455821769,473.756
477766.547529399,474.124
477766.54947637196,473.069
477766.5514234644,472.431
477766.5517289369,472.379
477766.553370498,472.705
477766.5536759776,472.999
477766.5559283121,473.383
477766.55623377784,472.532
477766.55848615564,473.445
477766.5607548064,473.794
477766.56106026965,473.655
477766.56331256754,474.024
477766.56361801695,474.219
477766.5658708023,474.571
477766.5661762416,474.687
477766.56783394,474.265
477766.5697809647,474.575
477766.57172833034,474.102
477766.57367548376,474.443
477766.57398097904,475.095
477766.5765386042,474.956
477766.5790963921,473.997
477766.5810434154,475.346
477766.5829903653,474.186
477766.5832958079,474.407
477766.5855480696,474.555
477766.5858535219,474.347
477766.5881060332,474.02
477766.5884114542,474.101
477766.5900675736,473.696
477766.5920134725,473.528
477766.59426503,473.854
477766.59457017196,473.884
477766.59682228166,472.629
477766.5971276981,472.883
477766.59937984135,472.748
477766.60132547264,472.8
477766.60327171517,474.212
477766.60521759803,473.458
477766.6055414039,473.278
477766.607775508,472.93
477766.60808095115,472.314
477766.6103325156,470.633
477766.610637996,470.47
477766.61319509946,472.164
477766.6157528514,470.906
477766.61607195914,471.799
477766.61831046647,471.335
477766.6186159272,469.506
477766.620868078,466.785
477766.621173538,466.786
477766.6240358598,466.403
477766.62434128945,466.724
477766.6272036792,466.852
477766.629776792,470.224
477766.63233334594,465.305
477766.63488941727,467.19
477766.63744647143,471.926
477766.6377587814,472.024
477766.6406143301,472.176
477766.6409197742,471.485
477766.64378280926,471.782
477766.6440882451,471.255
477766.64666200057,472.691
477766.6486089481,472.574
477766.6489143829,473.373
477766.65116670664,472.362
477766.6514721587,471.383
477766.65372463455,471.888
477766.65403006284,472.123
477766.6562823674,473.652
477766.65658783686,473.973
477766.6588403232,473.754
477766.66139807354,472.652
477766.6633452422,471.892
477766.66529301467,473.258
477766.6675456432,473.917
477766.669492768,474.154
477766.6714398147,472.863
477766.6733869993,473.054
477766.67369248456,472.562
477766.6759451848,472.035
477766.6762506438,472.137
477766.6785030413,471.356
477766.6788084825,471.757
477766.6810609983,472.197
477766.6813664483,472.765
477766.68361899944,473.777
477766.68587149266,473.959
477766.68617698166,473.437
477766.68842938275,473.713
477766.6887348385,473.499
477766.69159821345,473.377
477766.6919036935,473.425
477766.69476694736,474.123
477766.6973247628,475.41
477766.69988254516,476.036
477766.702438682,475.659
477766.7049951536,475.652
477766.7053002844,475.686
477766.7081626969,476.036
477766.7084681535,476.189
477766.7113304031,475.775
477766.7116358482,475.607
477766.71449869924,475.376
477766.71480414097,475.148
477766.71705576085,475.436
477766.7196132878,474.515
477766.72186543624,474.116
477766.7221708823,473.826
477766.7244230301,473.148
477766.7247284607,472.883
477766.7269800028,471.658
477766.7295367963,470.507
477766.73149960523,469.386
477766.7334464708,469.063
477766.73375871975,469.177
477766.73600402556,468.8
477766.7363094864,469.678
477766.73856146354,468.068
477766.7388665595,469.051
477766.7408310002,467.02
477766.7427772538,466.782
477766.74308269256,467.021
477766.74533509114,465.199
477766.7456405829,464.893
477766.7478928466,462.566
477766.7481982895,461.953
477766.75044920115,463.503
477766.75075425545,462.209
477766.75300635945,461.286
477766.7549530709,463.114
477766.756899703,459.877
477766.75976248167,461.739
477766.76172415866,464.786
477766.76367088396,462.152
477766.76561765134,463.449
477766.7675644622,468.419
477766.76786988176,471.159
477766.7701219064,478.618
477766.7704273211,470.774
477766.7726790874,474.195
477766.77298455895,470.399
477766.77523681417,468.585
477766.77748893935,470.277
477766.77779435745,468.388
477766.78065735486,470.136
477766.78096242744,468.97
477766.78382638836,466.746
477766.78413181956,466.708
477766.7869948179,464.626
477766.7895684656,466.4
477766.7921259989,465.661
477766.7946835833,467.573
477766.79724091373,466.83
477766.79754705913,466.889
477766.80040917656,465.4
477766.80071462167,466.251
477766.80357753026,465.119
477766.80388295633,465.934
477766.80613462225,467.384
477766.80644011695,466.801
477766.80869114655,465.432
477766.8112487239,463.561
477766.8135168736,463.97
477766.8138223156,463.92
477766.81607446977,464.698
477766.8163799109,465.056
477766.81863198685,464.066
477766.82057864993,463.591
477766.8225252787,463.314
477766.8244719169,462.902
477766.82479557145,463.039
477766.827029355,463.978
477766.82733478246,464.363
477766.8295867187,464.1
477766.829892173,464.393
477766.83183825127,465.09
477766.83378502395,465.087
477766.8340904567,465.568
477766.8357317017,465.76
477766.83603711484,465.772
477766.83767835126,465.208
477766.83798378735,464.936
477766.8402367697,465.13
477766.84054237645,465.567
477766.84279526817,465.023
477766.84475848026,465.029
477766.8470106284,465.206
477766.8473160771,465.323
477766.84956837003,463.874
477766.8515152031,464.017
477766.8534613161,463.641
477766.855407103,464.519
477766.8573529924,465.174
477766.85765809123,465.043
477766.8599093942,466.284
477766.86021481367,466.981
477766.86246683466,467.014
477766.86277226784,467.412
477766.86471854197,467.951
477766.8650400873,467.821
477766.8672763212,468.039
477766.8675817636,468.582
477766.8698345179,469.712
477766.87013998406,469.605
477766.87179771054,469.809
477766.87210319453,469.575
477766.87374503183,468.822
477766.8756922598,468.884
477766.8779446773,468.731
477766.8782501464,469.254
477766.88050248096,469.163
477766.8830764228,467.888
477766.8850234298,467.076
477766.88697050035,467.691
477766.88891816477,467.977
477766.88922361244,468.116
477766.8914758949,465.789
477766.89178136,465.896
477766.8940336852,467.141
477766.89433915855,465.455
477766.8963026882,464.413
477766.89662409446,464.317
477766.89886053477,464.67
477766.8991659668,464.864
477766.90141905553,465.991
477766.9017244742,465.435
477766.9039767188,466.059
477766.90428217367,466.185
477766.90653385565,467.735
477766.90847857425,469.094
477766.9104249969,468.137
477766.9129825326,463.489
477766.91524925205,464.995
