x,y
477765.2036595408,239.027
477765.20690586057,238.408
477765.2104236274,239.33
477765.21304192505,239.574
477765.2133473998,239.411
477765.2165761008,238.664
477765.21978783066,238.361
477765.2200930486,238.228
477765.22300060716,238.715
477765.2259079164,239.689
477765.2262130614,239.281
477765.2265365426,238.713
477765.230338252,236.07
477765.2332460349,234.416
477765.23645923735,231.765
477765.23677126743,231.555
477765.2396717119,232.033
477765.2399771883,231.909
477765.24380068114,231.865
477765.24410619243,231.108
477765.24762618,231.797
477765.25142795604,233.044
477765.2549467667,233.632
477765.25815989415,234.152
477765.2584650578,234.814
477765.2610671073,234.292
477765.26427962375,234.071
477765.2645847962,233.875
477765.2680973551,233.942
477765.2710050279,232.715
477765.2713102344,232.751
477765.2748279315,233.111
477765.2783638196,232.7
477765.2815780597,232.951
477765.28189498326,233.138
477765.2854027937,233.737
477765.28570829035,233.696
477765.2889221695,233.927
477765.2892278138,233.929
477765.2927468323,233.557
477765.29596019175,233.228
477765.2988673986,232.158
477765.3026894321,231.967
477765.3029948191,231.876
477765.3068196471,231.334
477765.3100325593,231.033
477765.3103381525,231.111
477765.313858468,230.538
477765.31676544953,229.682
477765.319383199,230.01
477765.3222903159,229.927
477765.32551847416,229.785
477765.32582393463,229.96
477765.32905207144,229.587
477765.3316531017,229.271
477765.33195826213,228.926
477765.334882926,227.982
477765.3377921828,227.84
477765.33809740806,227.879
477765.34100731683,227.251
477765.34391567355,227.275
477765.346531999,227.512
477765.3494548081,227.481
477765.35266631923,227.088
477765.35297149065,227.282
477765.3558773921,226.945
477765.35618252936,226.865
477765.3600046773,227.119
477765.3603098674,226.984
477765.3638278545,226.253
477765.3670398566,227.212
477765.37055812555,226.905
477765.3743810976,226.395
477765.3746862574,226.288
477765.3779002664,225.76
477765.3782057492,225.775
477765.38111318403,225.379
477765.38141838065,225.5
477765.38432532473,225.958
477765.3878433924,226.156
477765.3910564408,225.783
477765.3939810318,225.514
477765.3971948234,226.01
477765.3975000602,226.217
477765.40101725026,226.955
477765.4013224316,226.823
477765.40453199594,227.338
477765.4048375387,227.643
477765.4083560152,227.628
477765.4115680683,227.167
477765.4144760477,227.36
477765.4176890231,227.504
477765.4179942022,227.646
477765.4212073463,227.661
477765.42442024313,228.328
477765.424725443,228.314
477765.4276327339,228.522
477765.43054039596,228.595
477765.43084556976,228.707
477765.43375251844,229.549
477765.4366605831,228.77
477765.43988897215,229.053
477765.44021030015,228.953
477765.44310171815,229.589
477765.44340690726,229.805
477765.44661992433,230.469
477765.44692544494,230.77
477765.449833397,230.787
477765.45277164795,232.02
477765.45307684975,232.34
477765.45598432753,233.011
477765.4589080482,233.029
477765.462099474,232.219
477765.46531286486,232.928
477765.4656181023,233.078
477765.46883476677,232.62
477765.46914029156,232.806
477765.47265986877,232.931
477765.4729651009,233.087
477765.4765001325,233.119
477765.4806240021,233.085
477765.48383730714,233.029
477765.48415877455,233.297
477765.4873569999,232.788
477765.49058635416,232.89
477765.49089198635,233.038
477765.49441091577,233.595
477765.4979300155,234.41
477765.49823519646,234.252
477765.501158588,234.634
477765.50467688125,234.415
477765.5078899461,235.028
477765.5111017462,235.124
477765.51140721806,234.78
477765.5152310035,232.694
477765.515536153,232.127
477765.5190457221,231.215
477765.51935090515,231.218
477765.5196769462,230.608
477765.52257741085,230.487
477765.5228828969,230.175
477765.52579043823,229.587
477765.5296079425,229.852
477765.5299134404,229.815
477765.5337374022,228.762
477765.536950583,229.015
477765.53725608083,228.776
477765.5407739434,229.399
477765.5442911627,229.825
477765.54459708347,229.721
477765.54810106213,228.599
477765.55100944167,228.346
477765.55483371305,227.882
477765.5586578072,227.205
477765.5589634213,227.185
477765.5621776602,227.222
477765.562483166,227.525
477765.5653921696,227.245
477765.5656977976,227.333
477765.56921723275,227.335
477765.5727372899,227.508
477765.5765619259,228.434
477765.57686938456,228.713
477765.5800810488,228.264
477765.58390465094,228.182
477765.5842101335,228.289
477765.58772769343,228.177
477765.5912455051,227.221
477765.59155099286,226.711
477765.5956663383,226.032
477765.59888009616,226.272
477765.5991855615,226.015
477765.60301013023,226.36
477765.60622410505,226.926
477765.6065311389,226.976
477765.60974476754,225.47
477765.61004993913,225.416
477765.61356923264,225.163
477765.6167979287,224.917
477765.62031730334,225.505
477765.6241350511,225.798
