# Average CO2 over dt = 1.5 hour time span at every time point with interval 0.1 hour
4.040725761194029815e+02,3.928618544257489589e+02,3.966702575075073014e+02,4.007495697151422291e+02,3.946541068032186104e+02,4.170852384155460868e+02,4.031459829351535973e+02,3.979864846856521012e+02,3.985204061135376037e+02,4.042024230136981373e+02,4.021639969056221844e+02,4.028738624338615182e+02,4.062977149355573943e+02,4.123495433482810313e+02,3.889180621257480652e+02,4.051474618291762226e+02,4.071208197879864770e+02,4.091540235026535584e+02,3.977098306636159464e+02
4.039422128454068570e+02,3.926611803519056139e+02,3.966895843960988373e+02,4.006907505634858921e+02,3.947201967930029127e+02,4.170283769633512634e+02,4.031951117927737869e+02,3.981990756437762116e+02,3.985204669579470647e+02,4.041896774370205776e+02,4.022462027935859510e+02,4.029393602320669174e+02,4.062884128787880513e+02,4.123844510097233638e+02,3.883958185240960574e+02,4.051316671709534489e+02,4.073526370007008381e+02,4.092778619119879977e+02,3.977191796042620808e+02
4.037952817638263809e+02,3.924342445095161338e+02,3.968713225806449714e+02,4.006805000000000518e+02,3.948037085463843141e+02,4.169617747949290560e+02,4.032382276144903699e+02,3.982042694578629494e+02,3.987897719585380969e+02,4.043457967213112738e+02,4.024190702028085411e+02,4.028517856766715113e+02,4.066342329803327402e+02,4.125363944610779754e+02,3.882320560957365387e+02,4.050924196969700120e+02,4.075848210526312414e+02,4.091881899696051050e+02,3.978125824427484645e+02
4.037783115241634277e+02,3.921045047549368974e+02,3.968385877061468250e+02,4.007740000000000578e+02,3.948657884333820789e+02,4.167184164179097934e+02,4.034442822966504423e+02,3.980430117899247762e+02,3.989451913613997363e+02,4.042857088331517730e+02,4.025755648099947166e+02,4.025958498419384455e+02,4.065647040121120881e+02,4.127038035847650121e+02,3.880369430473371608e+02,4.051134072672223283e+02,4.076140114041340894e+02,4.091633059360733569e+02,3.977808173515983299e+02
4.037453348214286279e+02,3.919331613138680268e+02,3.968668496240600803e+02,4.007902866817155427e+02,3.949167377647917192e+02,4.165856828358205917e+02,4.034635270733379571e+02,3.981062068780228174e+02,3.990501954148470531e+02,4.046181657549235524e+02,4.028127353244078677e+02,4.022309633952251602e+02,4.062429439818324113e+02,4.128125287528006879e+02,3.879540037202380631e+02,4.049160188679243220e+02,4.074612632696388914e+02,4.091111622239149597e+02,3.977609574468088454e+02
4.038554169139466126e+02,3.920851784413687255e+02,3.967865298113205768e+02,4.008751872180449709e+02,3.947972339181287680e+02,4.165071057334322404e+02,4.034015738831618023e+02,3.981208034464193588e+02,3.991352058018608204e+02,4.047423808219180614e+02,4.029273105558385168e+02,4.016886148936166592e+02,4.059793517816529516e+02,4.129172031366691726e+02,3.878181146926538077e+02,4.047221006051436234e+02,4.074160654468680036e+02,4.090087744874716122e+02,3.978647319665910800e+02
4.039145630563801888e+02,3.920835479651158835e+02,3.968296814759034419e+02,4.005856839339338080e+02,3.946451190650105900e+02,4.160090059612517166e+02,4.034859182130587669e+02,3.984096113794955158e+02,3.989994330235105622e+02,4.047605659551176700e+02,4.028284917948715247e+02,4.013069325544340700e+02,4.055967217589086431e+02,4.130436846038867316e+02,3.876786247224277986e+02,4.044838856926571680e+02,4.071116771204561360e+02,4.088578779557590792e+02,3.976520858662618139e+02
4.039924118518518981e+02,3.921350458181813678e+02,3.970815380557646108e+02,4.002847539503384837e+02,3.944368575602630358e+02,4.157508268656716268e+02,4.036730289655176307e+02,3.986156923901396567e+02,3.988973099128542117e+02,4.048342062193121365e+02,4.027932156557797612e+02,4.011110037095918983e+02,4.050939916666668523e+02,4.132129588938717006e+02,3.875446534216335408e+02,4.042392210446629406e+02,4.069054100000001881e+02,4.084867231121283453e+02,3.976311579347006386e+02
4.039555281899110923e+02,3.920787684515191813e+02,3.974180662650600198e+02,4.001702315233786180e+02,3.942322726608185235e+02,4.155743607169528104e+02,4.033638823933983986e+02,3.986588408119659448e+02,3.986002058823528387e+02,4.049582763517199169e+02,4.028040581214319218e+02,4.007648577494691153e+02,4.046528897280967385e+02,4.135067131086145196e+02,3.876024139465874327e+02,4.039417937831691461e+02,4.067168181818179846e+02,4.078844025974026408e+02,3.979114520547950633e+02
4.038520827790095495e+02,3.918727131502884617e+02,3.974709879336347740e+02,4.000000972850677385e+02,3.940342757863935503e+02,4.156183720059876805e+02,4.033536200963530405e+02,3.987540347222227410e+02,3.981672048780486080e+02,4.050419590387760991e+02,4.027434211076273414e+02,4.003745550847458503e+02,4.043811043083900358e+02,4.135423510877722038e+02,3.876840177514791890e+02,4.038165455235200625e+02,4.065908722653487075e+02,4.073589640947289467e+02,3.982598862595424976e+02
4.038598464944651028e+02,3.917239645953756622e+02,3.971992373393803177e+02,3.996845775602411095e+02,3.936867490829051803e+02,4.157654133533372942e+02,4.033240171821314561e+02,3.989632101063839400e+02,3.978648716838112591e+02,4.051552316076289344e+02,4.027434860452864882e+02,4.002225177342511415e+02,4.042823584905669350e+02,4.136771141998500525e+02,3.878312977941176882e+02,4.035617849544071305e+02,4.066813787772306910e+02,4.069035398773010002e+02,3.986815309869935504e+02
4.036491227810653868e+02,3.916724598117307892e+02,3.971221598793363796e+02,3.994597176204817401e+02,3.937289544787074647e+02,4.156907058383222875e+02,4.032123562585972536e+02,3.990487591901979840e+02,3.976256169749723881e+02,4.054418341516631017e+02,4.030351550913832170e+02,4.001655991516438462e+02,4.040388006042301186e+02,4.137909123595504752e+02,3.877746985998523996e+02,4.032828524714826131e+02,4.066259587123857955e+02,4.065374762269944426e+02,3.989259257274124479e+02
